support,itemsets
0.9078014184397163,Sex_Male
0.8617021276595744,ChestPain_ASY
0.851063829787234,Slope_Flat
0.7801418439716312,ExAngina_Yes
0.776595744680851,"Sex_Male, ChestPain_ASY"
0.7659574468085106,"Sex_Male, Slope_Flat"
0.7446808510638298,FastingBS_Normal
0.7198581560283688,"Slope_Flat, ChestPain_ASY"
0.7056737588652482,"Sex_Male, ExAngina_Yes"
0.6843971631205674,"ChestPain_ASY, ExAngina_Yes"
0.6773049645390071,"Sex_Male, FastingBS_Normal"
0.6560283687943262,"FastingBS_Normal, ChestPain_ASY"
0.6524822695035462,"Slope_Flat, ExAngina_Yes"
0.6418439716312057,"Slope_Flat, ChestPain_ASY, Sex_Male"
0.6382978723404256,"Slope_Flat, FastingBS_Normal"
0.6276595744680851,Age_Middle
0.6170212765957447,"Sex_Male, ChestPain_ASY, ExAngina_Yes"
0.5957446808510638,"Sex_Male, FastingBS_Normal, ChestPain_ASY"
0.5957446808510638,"FastingBS_Normal, ExAngina_Yes"
0.5815602836879432,"Sex_Male, Slope_Flat, ExAngina_Yes"
0.574468085106383,"Sex_Male, FastingBS_Normal, Slope_Flat"
0.5709219858156028,"Sex_Male, Age_Middle"
0.5602836879432624,"Slope_Flat, Age_Middle"
0.5567375886524822,"Slope_Flat, ChestPain_ASY, ExAngina_Yes"
0.549645390070922,"Slope_Flat, FastingBS_Normal, ChestPain_ASY"
0.549645390070922,"Age_Middle, ChestPain_ASY"
0.5425531914893617,ECG_Normal
0.5390070921985816,"Sex_Male, FastingBS_Normal, ExAngina_Yes"
0.5390070921985816,Chol_High
0.524822695035461,"FastingBS_Normal, ChestPain_ASY, ExAngina_Yes"
0.5070921985815603,"Sex_Male, Age_Middle, Slope_Flat"
0.5035460992907801,"Slope_Flat, FastingBS_Normal, ExAngina_Yes"
0.5,MaxHR_Medium
0.5,"Sex_Male, Age_Middle, ChestPain_ASY"
0.49645390070921985,"Age_Middle, ExAngina_Yes"
0.4929078014184397,"Slope_Flat, ChestPain_ASY, Sex_Male, ExAngina_Yes"
0.4929078014184397,"Slope_Flat, FastingBS_Normal, ChestPain_ASY, Sex_Male"
0.48936170212765956,"Sex_Male, ECG_Normal"
0.4858156028368794,"Slope_Flat, ECG_Normal"
0.48226950354609927,"Slope_Flat, Age_Middle, ChestPain_ASY"
0.4787234042553192,"FastingBS_Normal, Age_Middle"
0.475177304964539,"Sex_Male, FastingBS_Normal, ChestPain_ASY, ExAngina_Yes"
0.46808510638297873,"ECG_Normal, ChestPain_ASY"
0.46808510638297873,"Sex_Male, Chol_High"
0.46099290780141844,"ChestPain_ASY, Chol_High"
0.45390070921985815,"Slope_Flat, Chol_High"
0.45390070921985815,"FastingBS_Normal, ECG_Normal"
0.450354609929078,"Sex_Male, MaxHR_Medium"
0.44680851063829785,"Sex_Male, Age_Middle, ExAngina_Yes"
0.44680851063829785,"Sex_Male, FastingBS_Normal, Slope_Flat, ExAngina_Yes"
0.4432624113475177,"Age_Middle, ChestPain_ASY, ExAngina_Yes"
0.4432624113475177,BP_Prehypertension
0.4397163120567376,"FastingBS_Normal, Age_Middle, Sex_Male"
0.43617021276595747,"Slope_Flat, Age_Middle, ChestPain_ASY, Sex_Male"
0.4326241134751773,"Slope_Flat, Age_Middle, ExAngina_Yes"
0.4326241134751773,"Slope_Flat, FastingBS_Normal, ChestPain_ASY, ExAngina_Yes"
0.4326241134751773,"Slope_Flat, ECG_Normal, Sex_Male"
0.4326241134751773,"FastingBS_Normal, Age_Middle, Slope_Flat"
0.42907801418439717,"Chol_High, ExAngina_Yes"
0.42907801418439717,"FastingBS_Normal, Age_Middle, ChestPain_ASY"
0.42907801418439717,MaxHR_Low
0.425531914893617,"Slope_Flat, MaxHR_Medium"
